,Data-set,Algorithm,Support,Run-time,Memory,Patterns
97,C2K,ACO-GRAANK,0.7,0.2051,188.8,1.0
145,C2K,ACO-GRAANK,0.7,0.7882,241.2,1.0
162,C2K,ACO-GRAANK,0.7,0.4584,229.5,2.0
222,C2K,ACO-GRAANK,0.7,1.0487,242.8,3.0
356,C2K,ACO-GRAANK,0.7,6.401,248.3,1.0
523,C2K,ACO-GRAANK,0.7,0.126,154.0,1.0
75,C2K,ACO-LCM,0.7,13.844,846.9,197.0
146,C2K,ACO-LCM,0.7,13.809,856.3,199.0
156,C2K,ACO-LCM,0.7,14.019,852.7,199.0
340,C2K,ACO-LCM,0.7,13.94,835.9,198.0
383,C2K,ACO-LCM,0.7,13.836,849.9,198.0
521,C2K,ACO-LCM,0.7,13.721,846.2,195.0
544,C2K,ACO-LCM,0.7,14.131,837.9,197.0
569,C2K,ACO-LCM,0.7,14.186,835.9,197.0
612,C2K,ACO-LCM,0.7,14.307,842.1,197.0
90,C2K,GRAANK,0.7,7.2095,81.8,26.0
100,C2K,GRAANK,0.7,7.3012,81.8,26.0
183,C2K,GRAANK,0.7,7.3047,81.8,26.0
223,C2K,GRAANK,0.7,7.2792,81.8,26.0
424,C2K,GRAANK,0.7,7.235,81.8,26.0
520,C2K,GRAANK,0.7,7.2852,81.8,26.0
564,C2K,GRAANK,0.7,7.2038,81.8,26.0
645,C2K,GRAANK,0.7,7.2055,81.8,26.0
