Data-set,Algorithm,Support,Run-time,Memory,Patterns
B_C,ACO-GRAANK (2.0),0.8,0.2511,134.8,0.0
B_C,ACO-GRAANK (2.0),0.8,0.0219,96.2,1.0
B_C,ACO-GRAANK (2.0),0.8,0.0692,138.9,0.0
B_C,ACO-GRAANK (2.0),0.8,0.1508,219.5,0.0
B_C,ACO-GRAANK (2.0),0.8,0.137,167.3,0.0
B_C,ACO-GRAANK (2.0),0.8,0.0726,146.9,1.0
B_C,ACO-GRAANK (2.0),0.8,0.0529,107.6,1.0
B_C,ACO-GRAANK (2.0),0.8,0.1579,116.4,0.0
B_C,ACO-GRAANK (2.0),0.8,0.0394,126.2,1.0
B_C,ACO-GRAANK (2.0),0.8,0.0671,145.8,0.0
B_C,ACO-GRAANK (2.0),0.8,0.0684,122.8,1.0
B_C,ACO-GRAANK (2.0),0.8,0.0594,125.8,1.0
B_C,ACO-GRAANK (2.0),0.8,0.1299,200.7,1.0
B_C,ACO-GRAANK (2.0),0.8,0.1139,166.8,0.0
B_C,ACO-GRAANK (2.0),0.8,0.0831,157.3,1.0
B_C,ACO-GRAANK (2.0),0.8,0.071,139.1,0.0
B_C,ACO-GRAANK (2.0),0.8,0.08,149.9,0.0
B_C,ACO-GRAANK (2.0),0.8,0.0509,111.4,0.0
B_C,ACO-GRAANK (2.0),0.8,0.0524,113.3,1.0
B_C,ACO-GRAANK (2.0),0.8,0.1422,221.2,0.0
B_C,ACO-GRAANK (2.0),0.8,0.0828,154.2,0.0
B_C,ACO-GRAANK (2.0),0.8,0.0712,148.9,1.0
B_C,ACO-GRAANK (2.0),0.8,0.1193,140.8,0.0
B_C,ACO-GRAANK (2.0),0.8,0.1011,179.1,0.0
B_C,ACO-GRAANK (2.0),0.8,0.0712,136.0,1.0
B_C,ACO-GRAANK (2.0),0.8,0.0595,127.9,1.0
B_C,ACO-GRAANK (2.0),0.8,0.0705,142.1,0.0
B_C,ACO-GRAANK (2.0),0.8,0.0431,103.7,1.0
B_C,ACO-GRAANK (2.0),0.8,0.0222,95.0,1.0
B_C,ACO-GRAANK (2.0),0.8,0.204,214.2,0.0
